# Works excluded from search/collections (indexed: false at build time).
#
# TWO PRUNE WAVES (third column says which):
#  1. numeric mbcov  — 2026-07-23 coverage prune (see curation/decision-data/FINDINGS.md §5.3
#     and curation/INDEX_DECISIONS.md; per-work snapshot: curation/decision-data/site_index_scored.csv):
#     REMOVE = mbcov < 5 AND not blind-spot-whitelisted AND not verified-canonical.
#     NOTE: mbcov was fuzzy-title-matched and inflated for generic titles.
#  2. 'ledger-cleanup' — 2026-07-31 convergence on the bluegrass canon. KEEP needed
#     two independent signals: any two of {MB coverage, Strum Machine catalog,
#     BluegrassLyrics.com} — or instrumental jam canon (tune list/tab/ABC), a
#     curated-bluegrass-artist credit, or user origin. Single-signal rows pruned.
#     Every pruned title was then manually reviewed (163 rescued via keep:).
#
# POLICY (Mike, 2026-07-31): the searchable index is deliberately bluegrass +
# bluegrass-adjacent. The full archive stays on disk and resolves by direct URL;
# nothing here is deleted, and anything can come back later.
#
# Non-destructive: works stay on disk and resolve by direct URL; user-origin
# works are never pruned regardless of this list; registry keep: entries win.
#
# RESTORE a song:  ./scripts/utility curate unprune <work-id> --reason "..."
# RESTORE in bulk: delete rows here (or add keep: entries), then rebuild.
id,title,mbcov
act-1-act-2-act-3,Act 1 Act 2 Act 3,0
act-like-a-fool,Act Like A Fool,1
act-like-a-married-man,Act Like A Married Man,1
act-naturally-lyrics-with-chords,Act Naturally,2
acting-like-my-old-self-again,Acting Like My Old Self Again,2
action,Action,0
actions-speak-louder-than-words,Actions Speak Louder Than Words,1
adalida,Adalida,0
adam-s-side,Adam's Side,0
add-another-fool-to-the-flame,Add Another Fool To The Flame,2
address-unknown,Address Unknown,1
adieu-false-heart,Adieu False Heart,2
adios-amigo,Adios Amigo,0
adorable-women,Adorable Women,0
afraid,Afraid,0
afraid-to-care,Afraid To Care,0
afraid-to-love-again,Afraid To Love Again,1
afraid-to-love-and-afraid-of-dying,Afraid To Love And Afraid Of Dying,2
afraid-to-sleep,Afraid To Sleep,0
after-17,After 17,1
after-all,After All,1
after-all-1,After All,1
after-all-2,After All,1
after-all-3,After All,1
after-all-the-good-is-gone,After All The Good Is Gone,4
after-all-the-things-i-ve-done,After All The Things I've Done,1
after-all-they-used-to-belong-to-me,After All They Used To Belong To Me,1
after-all-this-time,After All This Time,1
after-all-this-time-1,After All This Time,1
after-all-we-have-meant-to-each-other,After All (We Have Meant To Each Other),1
after-awhile,After Awhile,0
after-being-your-lover,After Being Your Lover,0
after-calvary,After Calvary,3
after-closing-time,After Closing Time,4
after-dark,After Dark,2
after-the-ball,After The Ball,1
after-the-best,After The Best,1
after-the-boy-gets-the-girl-lyrics-chords,After the Boy Gets the Girl Lyrics Chords,2
after-the-fact,After The Fact,1
after-the-fire-is-gone-lyrics-chords,After the Fire is Gone Lyrics chords,4
after-the-heartache,After The Heartache,1
after-the-hurt-is-gone,After The Hurt Is Gone,4
after-the-laughter-comes-the-tears,After The Laughter Comes The Tears,2
after-the-lights-go-out,After The Lights Go Out,2
after-the-love-has-gone,After The Love Has Gone,4
after-the-love-is-gone,After The Love Is Gone,4
after-the-love-slips-away,After The Love Slips Away,2
after-the-loving,After The Loving,1
after-the-party,After The Party,1
after-the-storm,After the Storm,2
after-the-thrill-is-gone,After The Thrill Is Gone,4
after-you-ve-gone,After You've Gone,3
afterglow,Afterglow,1
afternoon-delight,Afternoon Delight,0
again,Again,2
again-1,Again,2
again-today,Again Today,4
against-the-grain,Against The Grain,2
age-of-worry,Age of Worry,4
ages-and-ages-ago-with-chords,Ages And Ages Ago with chords,4
agony-of-waiting,Agony Of Waiting,1
ain-t-a-woman-somebody-when-she-s-gone,Ain't A Woman Somebody When She's Gone,4
ain-t-gonna-be-your-day,Ain't Gonna Be Your Day,0
ain-t-gonna-hobo-no-more,Ain't Gonna Hobo No More,1
ain-t-gonna-work-no-more,Ain't Gonna Work No More,1
ain-t-got-no-home,Ain't Got No Home,1
ain-t-got-the-time,Ain't Got The Time,4
ain-t-got-time-to-be-unhappy,Ain't Got Time To Be Unhappy,4
ain-t-got-trouble-now,Ain't Got Trouble Now,1
ain-t-it-amazing,Ain't It Amazing,0
ain-t-it-amazing-gracie,Ain't It Amazing Gracie,0
ain-t-it-been-love,Ain't It Been Love,2
ain-t-it-easy,Ain't It Easy,2
ain-t-it-funny,Ain't It Funny,2
ain-t-it-funny-the-way-love-can-do-ya,Ain't It Funny The Way Love Can Do Ya,2
ain-t-it-good,Ain't It Good,0
ain-t-it-good-1,Ain't It Good,0
ain-t-it-good-to-be-in-love-again,Ain't It Good To Be In Love Again,2
ain-t-life-sweet,Ain't Life Sweet,1
ain-t-love-a-good-thing,Ain't Love A Good Thing,1
ain-t-love-a-hurting-thing,Ain't Love A Hurting Thing,2
ain-t-love-a-lot-like-that,Ain't Love A Lot Like That,2
ain-t-love-been-good,Ain't Love Been Good,2
ain-t-love-good,Ain't Love Good,2
ain-t-makin-no-headlines,Ain't Makin' No Headlines,0
ain-t-misbehavin,Ain't Misbehavin',4
ain-t-much-more,Ain't Much More,0
ain-t-necessarily-so,Ain't Necessarily So,0
ain-t-no-fun-to-be-alone-in-san-antone,Ain't No Fun To Be Alone In San Antone,4
ain-t-no-trick-it-takes-magic,Ain't No Trick It Takes Magic,2
ain-t-nobody-s-business,Ain't Nobody's Business,2
ain-t-nothin-like-a-woman,Ain't Nothin' Like A Woman,0
ain-t-nothin-shakin-but-the-leaves,Ain't Nothin' Shakin' (But The Leaves),0
ain-t-nothing-but-love,Ain't Nothing But Love,2
ain-t-she-sweet,Ain't She Sweet,3
ain-t-that-a-shame,Ain't That a Shame,3
ain-t-that-fine,Ain't That Fine,1
ain-t-that-lonely-yet,Ain't That Lonely Yet,1
ain-t-that-love,Ain't That Love,1
ain-t-we-havin-us-a-good-time,Ain't We Havin' Us A Good Time,4
ain-t-we-sad-today,Ain't We Sad Today,4
ain-t-worth-the-powder,Ain't Worth The Powder,1
ain-t-your-memory-got-no-pride-at-all,Ain't Your Memory Got No Pride At All,1
aint-gonna-do-it,Ain’t Gonna Do It,1
aint-had-no-loving,Ain’t Had No Loving,0
aint-i-been-good-to-you,Ain’t I Been Good to You,2
aint-i-the-lucky-one,Ain’t I The Lucky One,4
aint-life-a-crying-shame,Ain’t Life A Crying Shame,3
aint-living-long-like-this,Ain’t Living Long Like This,4
aint-no-grave,Ain’t No Grave,2
air-a-danser,Air à danser,0
air-mail-special,Air Mail Special,3
air-that-i-breathe,Air That I Breathe,2
alabam,Alabam,4
alabama,Alabama,3
alabama-clay,Alabama Clay,1
alabama-gals,Alabama Gals,3
alabama-jig,Alabama Jig,3
alabama-joe,Alabama Joe,3
alabama-rose,Alabama Rose,3
alabama-shuffle-buck-and-wing-dance,Alabama Shuffle Buck and Wing Dance,3
alabama-sky,Alabama Sky,3
alabama-waltz,Alabama Waltz,3
alabama-woman,Alabama Woman,3
alberta,Alberta,1
alcohol-love,Alcohol Love,2
alcohol-of-fame,Alcohol Of Fame,2
alcohol-of-fame-1,Alcohol of Fame,2
alexander-waltz,Alexander Waltz,2
alibis,Alibis,0
alibis-1,Alibis,0
alice-in-wonderland,Alice In Wonderland,0
alien,Alien,0
alimony,Alimony,1
alive-and-well,Alive And Well,3
all-aboard,All Aboard,4
all-alone-am-i,All Alone Am I,1
all-alone-in-austin,All Alone In Austin,4
all-american-boy,All American Boy,1
all-american-country-boy,All American Country Boy,1
all-american-girl,All American Girl,2
all-american-girl-1,All American Girl,2
all-american-kid,All American Kid,0
all-american-man,All American Man,1
all-around-cowboy,All Around Cowboy,2
all-around-cowboy-1,All Around Cowboy,2
all-at-once-it-s-forever-lyrics-chords,All At Once It's Forever Lyrics chords,4
all-by-my-lonesome,All By My Lonesome,4
all-by-myself,All By Myself,0
all-by-myself-1,All By Myself,0
all-day-sucker,All Day Sucker,1
all-dressed-up-and-lonely,All Dressed Up and Lonely,1
all-fall-down,All Fall Down,3
all-fall-down-1,All Fall Down,3
all-for-the-love-of-a-girl,All For The Love of a Girl,2
all-girl-all-gospel-quartet,All Girl All Gospel Quartet,2
all-grownup,All Grownup,0
all-hail-the-power-of-jesus-name,All Hail The Power Of Jesus' Name,1
all-hat-no-cattle,All Hat No Cattle,0
all-her-little-loving-ways,All Her Little Loving Ways,1
all-his-children,All His Children,1
all-i-can-be-is-a-sweet-memory,All I Can Be Is A Sweet Memory,1
all-i-can-do,All I Can Do,2
all-i-can-hold-to,All I Can Hold To,1
all-i-ever-give-is-in,All I Ever Give Is In,1
all-i-ever-loved-was-you,All I Ever Loved Was You,4
all-i-ever-need-is-you,All I Ever Need Is You,2
all-i-ever-wanted-to-do,All I Ever Wanted To Do,3
all-i-have-to-do-is-dream,All I Have to Do Is Dream,3
all-i-have-to-offer-you-is-me,All I Have to Offer You is Me,1
all-i-left-behind,All I Left Behind,1
all-i-need-is-jesus,All I Need Is Jesus,3
all-i-need-is-some-more-lovin,All I Need Is Some More Lovin',1
all-i-need-is-you,All I Need Is You,2
all-i-need-is-you-1,All I Need Is You,2
all-i-need-is-you-2,All I Need Is You,2
all-i-wanna-do-in-life,All I Wanna Do In Life,1
all-i-want-and-need-forever,All I Want And Need Forever,4
all-i-want-for-christmas-is-my-daddy,All I Want For Christmas Is My Daddy,3
all-i-want-is-mary-for-christmas-lyrics-with-chords,All I Want Is Mary For Christmas Lyrics with Chords,3
all-i-want-is-you,All I Want is You,3
all-i-want-to-do,All I Want To Do,1
all-i-want-to-do-in-life,All I Want To Do In Life,1
all-in-alabama,All In Alabama,3
all-in-my-love-for-you,All In My Love For You,1
all-in-one-night,All In One Night,4
all-in-the-name-of-love,All In The Name Of Love,1
all-in-the-name-of-love-1,All In The Name Of Love,1
all-is-fair-in-love-and-war,All Is Fair In Love And War,2
all-ive-got-left,All I’ve Got Left,0
all-jokes-aside,All Jokes Aside,0
all-kinds-of-everything,All Kinds Of Everything,0
all-my-exs-live-in-texas,All My Ex’s Live In Texas,2
all-my-good-times-are-gone,All My Good Times Are Gone,4
all-my-life,All My Life,1
all-my-love,All My Love,2
all-my-love-1,All My Love,2
all-my-love-all-my-life-lyrics-and-chords,All My Love All My Life Lyrics and Chords,2
all-my-roads-lead-back-to-you,All My Roads Lead Back To You,1
all-my-tears,All My Tears,3
all-my-woman-asks,All My Woman Asks,0
all-new-me,All New Me,0
all-of-a-sudden,All Of A Sudden,0
all-of-me,All of Me,2
all-of-me-loves-all-of-you,All Of Me (Loves All Of You),2
all-of-my-tomorrows,All Of My Tomorrows,0
